transaction_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product,customer_id
T00000000,P013,Banking,0.01,2022-06-04,Branch,Completed,True,sdv-id-FwpFay
T00010000,P014,Banking,0.01,2024-03-10,Mobile App,Completed,True,sdv-id-vthVpX
T00010001,P001,Banking,125.63,2023-02-28,Online,Completed,False,sdv-id-vthVpX
T00010002,P002,Banking,0.01,2023-07-05,Branch,Completed,False,sdv-id-vthVpX
T00010003,P001,Banking,857.89,2023-04-27,Branch,Completed,True,sdv-id-vthVpX
T00020000,P014,Banking,730.33,2025-01-16,Branch,Completed,False,sdv-id-XnlgaZ
T00020001,P002,Banking,734.6,2022-07-21,Mobile App,Completed,True,sdv-id-XnlgaZ
T00020002,P003,Credit,0.01,2022-07-19,Online,Completed,False,sdv-id-XnlgaZ
T00030000,P006,Credit,0.01,2023-11-07,Branch,Completed,False,sdv-id-mLbuan
T00030001,P002,Banking,884.76,2023-11-07,Mobile App,Completed,False,sdv-id-mLbuan
T00030002,P001,Banking,92.47,2024-03-13,Online,Completed,False,sdv-id-mLbuan
T00040000,P010,Insurance,51.12,2022-07-26,Online,Completed,False,sdv-id-jWWKIV
T00040001,P015,Investment,4845.57,2022-11-13,Branch,Completed,True,sdv-id-jWWKIV
T00040002,P009,Insurance,213.63,2023-12-13,Online,Completed,True,sdv-id-jWWKIV
T00050000,P007,Credit,2526.83,2025-12-20,Mobile App,Completed,True,sdv-id-QoLaRM
T00050001,P008,Insurance,825.01,2022-11-20,Branch,Completed,True,sdv-id-QoLaRM
T00050002,P009,Insurance,2305.8,2025-09-23,Mobile App,Cancelled,False,sdv-id-QoLaRM
T00050003,P001,Banking,4.07,2023-01-04,Branch,Completed,True,sdv-id-QoLaRM
T00060000,P008,Insurance,190.29,2025-02-15,Mobile App,Pending,False,sdv-id-iIZxOY
T00060001,P013,Banking,0.01,2024-12-30,Online,Completed,True,sdv-id-iIZxOY
T00060002,P014,Banking,5671.02,2025-03-08,Mobile App,Completed,True,sdv-id-iIZxOY
T00060003,P012,Investment,1647.43,2022-07-02,Online,Completed,False,sdv-id-iIZxOY
T00060004,P013,Banking,181.55,2022-05-21,Mobile App,Completed,False,sdv-id-iIZxOY
T00070000,P009,Insurance,1953.28,2022-02-25,Online,Completed,False,sdv-id-GbyukC
T00070001,P015,Investment,201.27,2022-06-18,Mobile App,Completed,True,sdv-id-GbyukC
T00070002,P003,Credit,2210.69,2022-07-28,Branch,Completed,False,sdv-id-GbyukC
T00070003,P007,Credit,281.89,2022-03-30,Phone,Completed,False,sdv-id-GbyukC
T00080000,P003,Credit,1190.46,2025-04-27,Online,Completed,False,sdv-id-FChuMs
T00080001,P009,Insurance,1045.1,2023-04-23,Mobile App,Completed,True,sdv-id-FChuMs
T00080002,P001,Banking,89.76,2025-12-10,Online,Completed,False,sdv-id-FChuMs
T00080003,P015,Investment,2383.41,2022-05-24,Branch,Completed,True,sdv-id-FChuMs
T00080004,P002,Banking,9794.39,2024-08-16,Phone,Completed,False,sdv-id-FChuMs
