transaction_id,customer_id,product_id,product_category,amount,transaction_date,channel,status,is_first_product
T000000,C00001,P009,Insurance,823.0,2022-05-14,Branch,Cancelled,False
T000001,C00001,P005,Credit,823.0,2022-05-14,Branch,Cancelled,False
T000002,C00002,P011,Investment,823.0,2022-05-14,Branch,Cancelled,False
T000003,C00002,P002,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000004,C00002,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000005,C00002,P008,Insurance,823.0,2022-05-14,Branch,Cancelled,False
T000006,C00002,P002,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000007,C00002,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000008,C00002,P014,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000009,C00002,P014,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000010,C00002,P006,Credit,823.0,2022-05-14,Branch,Completed,False
T000011,C00002,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000012,C00002,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000013,C00003,P014,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000014,C00004,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000015,C00004,P008,Insurance,823.0,2022-05-14,Branch,Cancelled,False
T000016,C00004,P008,Insurance,823.0,2022-05-14,Branch,Cancelled,False
T000017,C00004,P013,Banking,823.0,2022-05-14,Branch,Completed,False
T000018,C00005,P002,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000019,C00005,P014,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000020,C00006,P002,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000021,C00006,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000022,C00006,P011,Investment,823.0,2022-05-14,Branch,Cancelled,False
T000023,C00006,P002,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000024,C00006,P001,Banking,823.0,2022-05-14,Branch,Cancelled,False
T000025,C00006,P002,Banking,823.0,2022-05-14,Branch,Cancelled,False
